date,spy_return,spmo_return,excess_return,Mkt_RF,SMB,HML,RF,iqr_outlier,excess_lag1,excess_mean_3m,spy_vol_3m,mkt_mean_3m,hml_mean_3m,target_excess_next,target_underperform_next
2024-03-31,0.0327,0.0416,0.0088999999999999,0.0284,-0.025,0.0416,0.0043,False,0.0627,0.0373666666666666,0.018166727828643266,0.028800000000000006,-0.005500000000000014,-0.0141999999999999,1
2024-04-30,-0.0403,-0.0545,-0.0141999999999999,-0.0465,-0.0237,-0.0045,0.0047,False,0.0088999999999999,0.019133333333333336,0.048760468961376216,0.010866666666666672,0.0009333333333333199,0.0227999999999999,0
2024-05-31,0.0506,0.0733999999999999,0.0227999999999999,0.0433,0.0055,-0.0131,0.0044,False,-0.0141999999999999,0.005833333333333299,0.04815291614568465,0.008400000000000005,0.007999999999999986,0.0397,0
2024-06-30,0.0353,0.075,0.0397,0.028,-0.03,-0.0336,0.0041,False,0.0227999999999999,0.0161,0.04866939490069713,0.00826666666666667,-0.017066666666666678,-0.0288,1
2024-07-31,0.0121,-0.0167,-0.0288,0.0122,0.0681,0.0562,0.0045,False,0.0397,0.011233333333333298,0.019384615893365986,0.02783333333333334,0.003166666666666653,0.0144,0
2024-08-31,0.0233999999999999,0.0378,0.0144,0.016,-0.0349,-0.011,0.0048,False,-0.0288,0.008433333333333333,0.01160129303138249,0.01873333333333334,0.003866666666666655,-0.0047,1
2024-09-30,0.021,0.0163,-0.0047,0.0172,-0.0013,-0.0277,0.004,False,0.0144,-0.006366666666666667,0.0059534303836810696,0.01513333333333334,0.0058333333333333215,0.0109,0
2024-10-31,-0.0089,0.002,0.0109,-0.01,-0.0099,0.0086,0.0039,False,-0.0047,0.006866666666666666,0.017995647621948378,0.0077333333333333395,-0.010033333333333347,0.0065999999999999,0
2024-11-30,0.0596,0.0662,0.0065999999999999,0.0649,0.0446,0.0015,0.004,False,0.0109,0.004266666666666633,0.03434195684581768,0.02403333333333334,-0.00586666666666668,0.0073,0
2024-12-31,-0.0241,-0.0168,0.0073,-0.0317,-0.0271,-0.03,0.0037,False,0.0065999999999999,0.008266666666666632,0.04458882520692082,0.007733333333333338,-0.006633333333333346,0.0261,0
2025-01-31,0.0268,0.0529,0.0261,0.028,-0.0197,0.0163,0.0037,False,0.0073,0.0133333333333333,0.04217491355454493,0.020400000000000005,-0.00406666666666668,0.0103,0
2025-02-28,-0.0127,-0.0024,0.0103,-0.0244,-0.0579,0.0491,0.0033,False,0.0261,0.014566666666666667,0.02671148317359667,-0.009366666666666662,0.011799999999999986,-0.0153999999999999,1
2025-03-31,-0.0557,-0.0711,-0.0153999999999999,-0.0639,-0.0276,0.029,0.0034,False,0.0103,0.007000000000000033,0.04126237188205906,-0.020099999999999996,0.03146666666666665,0.0307,0
2025-04-30,-0.0087,0.022,0.0307,-0.0084,-0.0059,-0.034,0.0035,False,-0.0153999999999999,0.008533333333333365,0.02605762844159085,-0.03223333333333333,0.014699999999999986,0.0511999999999999,0
2025-05-31,0.0628,0.114,0.0511999999999999,0.0606,0.007,-0.0288,0.0038,False,0.0307,0.022166666666666664,0.0596706237049131,-0.0038999999999999937,-0.011266666666666682,0.0183,0
2025-06-30,0.0513999999999999,0.0697,0.0183,0.0486,0.0083,-0.016,0.0034,False,0.0511999999999999,0.033399999999999964,0.038414884268123665,0.033600000000000005,-0.026266666666666685,0.0056,0
2025-07-31,0.023,0.0286,0.0056,0.0198,0.0027,-0.0127,0.0034,False,0.0183,0.025033333333333296,0.020496178505597967,0.04300000000000001,-0.019166666666666683,-0.0136999999999999,1
2025-08-31,0.0204999999999999,0.0068,-0.0136999999999999,0.0185,0.0387,0.0441,0.0038,False,0.0056,0.0034000000000000293,0.01716401273983844,0.02896666666666667,0.005133333333333316,,0
